BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.30	35.87	65.75	65.75
0.31	37.94	66.47	66.47
0.41	43.66	57.78	57.78
0.25	25.34	72.74	72.74
0.57	57.62	60.60	60.60
0.59	59.56	75.67	75.67
0.55	58.77	79.64	79.64
0.00	14.90	68.28	68.28
0.28	40.54	60.87	60.87
0.31	33.16	57.75	57.75
0.19	29.46	59.23	59.23
0.00	34.79	78.58	78.58
0.20	27.21	52.20	52.20
0.21	34.87	57.43	57.43
0.26	35.11	58.56	58.56
0.76	84.09	88.75	88.75
0.33	50.88	87.46	87.46
0.76	74.68	92.35	92.35
0.44	54.11	78.49	78.49
0.00	22.89	49.86	49.86
0.00	14.83	53.16	53.16
0.48	61.63	78.72	78.72
0.39	40.46	78.55	78.55
0.76	75.06	95.41	95.41
0.48	59.97	76.52	76.52
0.42	44.12	81.28	81.28
0.45	50.89	80.08	80.08
0.18	23.48	53.64	53.64
0.59	54.91	74.97	74.97
0.37	32.00	67.55	67.55
0.62	68.80	86.21	86.21
0.29	40.59	53.77	53.77
0.58	67.04	83.59	83.59
0.82	83.94	89.91	89.91
0.00	14.26	43.01	43.01
0.43	43.44	61.89	61.89
0.24	35.18	61.60	61.60
0.40	42.43	63.57	63.57
0.00	14.07	58.73	58.73
0.24	34.13	60.66	60.66
0.70	74.78	77.93	77.93
0.00	10.78	45.79	45.79
0.26	39.50	65.34	65.34
0.37	38.95	61.37	61.37
0.00	30.74	82.22	82.22
0.00	3.22	41.45	41.45
0.16	21.51	56.79	56.79
0.70	75.35	75.71	75.71
0.48	53.21	79.24	79.24
0.49	56.79	77.96	77.96
0.00	10.86	51.48	51.48
0.28	41.28	58.64	58.64
0.14	25.70	41.14	41.14
0.37	43.36	68.82	68.82
0.54	77.65	90.04	90.04
0.52	55.59	78.36	78.36
0.52	58.77	68.37	68.37
0.42	53.42	70.99	70.99
0.00	16.52	45.88	45.88
0.55	57.05	67.00	67.00
0.32	34.36	60.95	60.95
0.20	33.46	63.21	63.21
0.53	72.42	84.27	84.27
0.15	24.22	58.04	58.04
0.50	53.43	67.39	67.39
0.00	15.19	46.01	46.01
0.00	26.13	69.90	69.90
0.00	33.12	54.32	54.32
1.00	100.00	100.00	100.00
0.59	61.41	62.21	62.21
0.46	52.24	82.45	82.45
0.24	36.70	54.30	54.30
0.36	41.42	64.72	64.72
0.28	35.22	69.35	69.35
0.00	24.97	58.66	58.66
0.00	11.40	59.51	59.51
0.37	48.50	72.33	72.33
0.48	46.24	79.01	79.01
0.40	43.35	62.70	62.70
0.49	55.12	71.80	71.80
0.00	5.24	31.73	31.73
0.52	53.44	67.29	67.29
0.44	45.07	60.67	60.67
0.18	25.97	56.97	56.97
0.15	27.17	62.22	62.22
0.82	84.97	87.59	87.59
0.46	47.87	65.24	65.24
0.86	88.82	90.46	90.46
0.34	48.28	69.82	69.82
0.63	65.15	80.78	80.78
