BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.20	32.34	62.79	62.30
0.30	44.87	59.47	60.71
0.19	24.78	54.72	58.46
0.20	22.18	59.35	55.17
0.34	39.37	62.09	45.90
0.23	23.23	55.05	59.65
0.47	57.49	62.89	42.62
0.00	16.31	40.47	78.95
0.00	19.89	47.70	59.46
0.41	48.22	58.39	46.15
0.47	49.47	57.86	46.15
0.20	32.60	54.73	60.47
0.44	50.34	67.99	46.15
0.21	24.50	32.43	88.37
0.00	13.67	41.69	85.71
0.22	30.43	51.23	64.71
0.00	30.94	50.07	70.83
0.36	42.32	54.93	65.75
0.20	37.68	57.37	61.11
0.00	16.22	55.20	68.29
0.00	10.57	56.43	60.38
0.23	36.07	54.86	60.87
0.11	14.17	47.85	70.59
0.55	61.25	81.44	23.08
0.19	36.32	49.65	57.14
0.20	21.44	54.27	63.92
0.00	13.89	52.44	44.44
0.41	43.94	63.09	35.00
0.00	8.32	55.53	74.07
0.34	38.74	67.71	52.38
0.00	20.97	70.70	66.67
0.25	32.83	66.59	35.00
0.00	24.38	53.38	60.00
0.18	18.76	54.64	66.67
0.58	53.88	76.43	36.36
0.31	54.45	43.18	70.59
0.53	56.46	60.88	44.44
0.00	15.73	39.30	54.55
0.50	52.73	67.23	46.58
0.76	75.91	77.84	11.76
0.00	17.61	35.18	84.62
0.39	43.15	63.34	32.26
0.00	22.98	27.30	56.25
0.76	77.71	87.38	15.38
0.39	43.77	71.42	42.86
0.36	41.37	50.61	76.19
0.44	49.03	71.64	40.58
0.21	33.53	54.46	65.45
0.34	40.22	61.09	54.55
0.16	20.38	54.72	68.42
0.49	59.77	74.10	34.04
0.28	38.80	58.42	57.63
0.51	53.47	67.91	43.14
0.00	10.74	37.18	75.00
0.72	71.66	82.06	25.81
0.34	34.29	62.60	52.63
0.43	45.20	64.07	53.33
0.33	41.93	70.61	36.67
0.32	38.95	65.44	50.00
0.23	28.12	51.71	48.28
0.52	53.84	77.64	31.19
0.43	55.27	77.47	23.68
0.12	20.52	44.51	95.24
0.22	45.98	63.82	69.39
0.47	54.55	76.81	31.91
0.00	14.84	44.72	73.47
0.34	35.53	61.21	63.53
0.30	38.57	66.65	48.57
0.13	13.81	58.43	60.55
0.66	69.30	85.90	21.33
0.00	17.76	56.94	70.59
0.26	28.35	56.85	66.00
