BLEU	sacre_BLEU	sacre_CHRF2
0.39	40.64	67.49
0.00	13.58	29.77
0.39	47.59	81.12
0.54	57.75	77.60
0.30	36.87	66.19
0.39	43.33	75.89
0.23	49.03	63.64
0.16	16.92	50.50
0.23	29.03	60.74
0.26	23.62	44.85
0.42	41.50	68.72
0.58	64.20	74.66
0.38	44.12	59.82
0.00	27.56	69.14
0.49	57.37	63.83
0.28	35.79	62.10
0.00	29.15	76.24
0.20	36.79	55.06
0.78	81.54	88.62
0.57	64.33	75.49
0.68	70.83	80.57
0.37	41.09	67.04
0.37	40.98	60.87
0.58	63.32	80.00
0.58	69.71	76.01
0.00	22.91	50.35
0.15	31.41	59.89
0.64	73.49	79.30
0.52	55.55	80.55
0.46	50.58	70.71
0.43	46.57	65.25
0.72	77.92	78.33
0.85	91.85	83.71
0.50	60.28	75.12
0.30	48.36	65.61
0.74	75.78	84.27
0.64	69.41	80.18
0.47	52.74	70.74
0.57	64.27	77.01
0.80	83.62	84.01
0.49	64.86	85.94
0.63	63.40	75.47
0.46	45.31	57.70
0.26	43.04	69.05
0.43	48.20	53.17
0.44	52.65	76.29
0.30	40.72	63.71
0.43	61.28	65.41
0.42	47.61	50.49
0.57	68.88	91.48
0.43	59.24	69.46
0.28	44.85	60.10
0.41	41.74	62.54
0.53	67.64	82.85
0.43	48.63	66.83
0.00	5.12	54.72
0.47	58.33	84.07
0.00	23.81	55.03
0.00	45.55	71.03
0.21	24.60	46.64
0.26	39.67	62.55
0.00	21.40	56.48
0.28	38.46	69.78
0.31	28.43	50.81
0.37	42.82	62.47
0.43	44.43	65.43
0.27	42.55	57.74
0.39	50.88	63.52
0.00	17.23	42.00
0.38	38.06	60.45
0.35	38.04	58.07
0.00	12.98	39.48
0.68	73.29	72.44
0.44	50.07	63.39
0.61	67.74	82.10
0.40	53.28	73.84
0.54	59.96	63.49
0.30	42.26	75.49
0.19	23.40	50.47
0.42	47.92	60.13
0.62	70.40	76.46
0.40	60.24	75.10
0.23	30.01	54.84
0.71	71.86	72.99
0.82	77.11	86.35
0.40	56.48	65.12
0.54	61.53	68.65
0.36	58.11	71.12
0.46	50.96	77.34
0.40	51.47	73.11
0.19	25.00	54.63
0.63	69.98	77.23
0.50	53.42	65.34
0.63	72.26	80.63
0.64	65.88	73.29
0.70	77.66	90.40
0.41	38.75	58.89
0.41	51.88	68.07
0.44	51.16	68.11
0.18	44.52	62.06
0.33	41.58	70.83
0.66	67.45	74.33
0.46	54.35	71.05
0.21	31.66	64.93
0.67	76.41	78.82
0.50	56.83	67.81
0.43	56.97	68.95
0.00	24.34	56.11
0.50	58.21	72.64
0.28	41.98	62.65
0.23	32.46	66.25
0.64	71.82	83.40
1.00	100.00	100.00
0.47	51.23	71.28
0.70	72.77	79.54
0.51	56.63	71.81
0.64	59.00	76.17
0.27	40.86	62.50
0.25	30.17	64.64
0.00	8.75	35.67
0.42	47.79	74.34
0.66	70.17	87.23
0.74	79.57	83.33
0.56	62.17	76.07
1.00	100.00	89.66
0.45	59.34	79.59
0.64	75.58	80.41
0.59	60.37	74.92
0.41	49.10	71.53
0.62	67.44	78.30
0.50	56.61	66.45
0.29	44.29	81.13
0.53	62.38	74.71
0.00	33.03	69.57
0.20	27.19	67.43
0.54	74.71	78.22
0.25	34.90	69.04
0.53	52.66	77.64
0.50	56.61	59.12
0.35	53.43	70.57
0.18	23.13	53.99
0.69	74.28	78.17
0.24	38.39	61.06
0.23	40.22	65.62
0.00	15.32	52.36
0.00	27.57	44.08
0.47	49.34	70.99
0.17	21.54	56.93
0.20	22.80	57.77
0.22	30.78	63.33
0.00	14.13	43.48
0.26	40.72	69.51
0.00	7.72	49.10
0.23	24.54	61.89
0.53	54.04	70.23
0.84	82.82	83.33
0.66	68.52	77.15
0.00	35.74	59.48
0.48	59.74	77.82
0.23	29.15	53.15
0.43	43.08	74.66
0.37	41.49	61.89
0.31	39.65	56.75
0.37	38.21	77.00
0.00	13.91	66.80
0.00	9.67	58.58
0.40	49.27	61.44
0.67	68.64	79.54
0.30	33.15	60.71
0.44	50.32	70.92
0.35	44.15	71.62
0.27	24.61	53.83
0.56	56.57	76.98
0.43	42.87	66.67
0.00	16.62	55.13
0.77	79.10	82.79
0.34	40.42	66.38
0.00	17.75	63.77
0.32	32.88	68.37
0.44	45.81	76.04
0.32	42.49	56.49
0.28	29.97	59.59
0.32	40.32	66.71
0.00	29.21	58.99
0.50	51.72	60.53
0.54	58.34	70.75
0.31	41.11	72.10
0.62	64.61	78.13
0.40	51.28	75.33
0.41	51.60	67.47
0.45	52.47	72.64
0.00	5.38	58.53
0.00	48.15	62.18
0.00	13.80	36.78
0.18	28.58	55.16
0.00	19.30	55.48
0.35	42.95	64.63
0.21	32.17	66.06
0.37	44.51	64.41
0.36	41.38	58.54
0.43	43.84	60.98
0.33	38.99	70.70
0.36	46.17	72.87
0.52	61.31	67.52
0.16	22.41	51.39
0.43	49.35	65.05
0.25	30.55	62.91
0.22	26.63	76.00
0.00	34.39	46.82
0.76	75.84	86.65
0.20	23.61	53.53
0.62	56.96	79.34
0.39	44.82	60.97
0.78	79.72	91.07
0.00	21.94	48.79
0.55	62.49	73.83
0.59	63.84	84.96
0.49	54.08	65.01
0.33	31.81	61.87
0.40	47.21	62.39
0.00	9.52	59.85
0.62	66.67	70.50
0.41	54.39	63.02
0.56	61.48	65.72
0.25	31.54	54.92
0.00	30.18	60.42
0.88	80.71	96.58
0.00	16.78	31.38
0.47	49.52	74.34
0.38	48.04	50.07
0.70	80.14	73.59
0.00	22.09	51.93
0.37	42.17	60.34
0.52	62.34	62.12
0.00	14.56	39.28
0.57	57.58	69.46
0.30	43.53	72.53
0.23	35.22	59.12
0.24	27.75	62.17
