BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.51	56.87	68.37	30.43
0.00	11.34	40.45	72.34
0.19	26.31	65.03	45.71
0.43	45.41	63.44	49.12
0.00	50.81	100.00	40.00
0.00	4.46	40.34	88.00
0.19	22.11	48.45	71.60
0.25	36.11	51.80	48.48
0.15	21.15	61.69	55.56
0.00	8.32	53.87	73.68
0.00	14.68	57.68	74.29
0.37	47.32	58.04	32.73
0.12	19.11	43.52	58.46
0.33	38.47	68.05	77.19
0.00	60.57	71.13	52.17
0.40	48.46	73.24	42.55
0.53	59.40	71.33	35.71
0.38	49.84	72.72	38.46
0.00	14.26	45.66	57.14
0.46	49.83	58.43	45.83
0.32	34.37	61.01	44.90
0.00	21.50	55.49	66.67
0.50	59.51	77.52	31.25
0.26	27.70	59.87	57.58
0.33	38.57	63.83	50.70
0.00	17.77	55.18	87.50
0.00	26.13	65.25	42.11
0.35	40.16	66.79	64.52
0.34	41.88	77.89	36.36
0.43	44.53	55.56	46.15
0.27	40.23	72.74	38.30
0.00	18.75	36.30	81.82
0.26	31.87	60.00	59.26
0.21	23.25	64.14	56.25
0.00	17.11	55.21	69.57
0.00	24.11	75.22	52.63
0.16	25.16	61.53	53.06
0.53	57.31	74.30	38.46
0.33	39.19	59.83	61.54
0.00	36.60	79.40	16.67
0.00	11.18	39.09	64.29
0.24	30.53	46.78	58.33
0.35	37.90	57.62	58.62
0.00	10.49	48.66	82.61
0.00	13.40	59.14	75.00
0.50	60.63	81.46	25.81
0.42	42.89	62.99	40.51
0.64	69.14	81.74	10.26
0.00	18.93	40.31	87.50
0.50	53.60	72.98	22.22
0.32	33.99	63.61	52.83
0.25	34.80	44.78	60.00
0.00	74.01	45.28	46.15
0.29	37.42	64.07	59.26
0.14	24.88	60.43	72.13
0.57	71.96	68.42	39.29
0.15	21.34	38.57	70.77
0.00	9.08	56.51	75.86
0.25	37.21	55.91	49.18
0.00	17.81	53.57	63.16
0.24	41.02	56.24	55.74
0.00	9.96	42.21	78.95
0.20	37.40	52.22	59.46
0.55	62.35	62.63	42.31
0.43	45.63	54.90	53.85
0.22	38.08	66.82	55.81
0.65	69.61	80.25	30.77
0.00	5.42	27.07	93.02
0.29	28.65	43.98	66.67
0.16	21.10	48.77	82.35
0.00	30.32	56.10	62.50
0.42	49.02	61.88	57.53
0.14	21.91	48.96	75.00
0.00	7.15	40.79	82.93
0.00	16.98	55.16	52.83
0.00	26.89	50.02	78.26
0.00	8.05	47.33	77.65
0.55	59.23	75.25	26.92
0.16	26.90	50.15	60.71
0.31	33.09	52.73	63.92
0.37	36.56	58.37	44.44
0.40	42.99	64.48	35.00
0.00	25.73	61.89	66.67
0.54	58.61	70.02	38.10
0.30	37.60	78.58	66.67
0.37	49.07	69.77	30.00
0.28	26.20	66.54	40.00
0.20	29.18	61.90	60.61
0.42	43.67	87.43	27.27
0.00	45.72	48.65	82.35
0.44	48.20	58.93	57.78
0.00	17.24	39.66	45.45
0.35	39.51	66.83	52.05
0.60	71.96	71.63	35.29
0.32	32.49	43.82	69.23
0.27	32.29	57.63	51.61
0.00	23.07	31.33	56.25
0.85	85.85	91.56	11.54
0.16	20.33	63.91	71.43
0.30	34.79	42.77	76.19
0.38	40.97	72.32	31.88
0.00	33.03	58.34	65.45
0.00	19.23	41.13	81.82
0.28	30.11	63.03	68.42
0.20	32.00	61.63	63.83
0.27	35.04	56.65	64.41
0.41	46.30	59.15	54.90
0.00	12.21	36.05	79.17
0.57	58.82	73.46	51.61
0.25	24.88	58.18	60.53
0.49	49.64	59.61	48.33
0.19	22.85	49.90	66.67
0.52	56.22	70.69	42.31
0.23	28.23	51.97	48.28
0.43	49.73	69.83	36.70
0.50	65.76	78.33	31.58
0.00	9.28	38.41	90.48
0.48	64.79	74.95	53.06
0.52	60.79	71.59	34.04
0.00	8.85	40.51	81.63
0.30	35.48	63.37	63.53
0.25	35.59	64.81	54.29
0.32	34.47	67.25	44.04
0.86	86.82	88.56	10.67
0.24	25.57	57.61	70.59
0.31	36.08	59.27	60.00
0.52	51.77	70.13	32.00
0.44	43.99	70.17	46.15
0.00	11.53	48.70	66.67
0.34	44.22	53.93	64.52
0.70	69.93	72.44	34.48
0.00	7.03	53.17	105.00
0.00	18.73	57.42	65.45
0.28	35.69	57.55	53.57
0.50	55.48	67.85	47.37
0.00	16.43	48.81	60.71
0.89	89.85	96.16	4.08
0.17	32.15	56.79	63.89
0.00	12.22	37.31	70.59
0.24	30.45	60.74	59.70
0.31	33.17	67.45	63.16
0.31	41.68	58.21	56.34
0.25	33.63	49.42	71.43
0.27	32.59	50.25	66.67
0.18	30.71	53.93	71.43
0.32	42.85	50.89	59.09
0.18	26.15	46.98	66.67
0.00	14.83	45.87	55.32
0.34	38.15	65.62	27.91
0.25	32.09	60.52	64.29
0.60	64.61	63.56	41.67
0.00	6.99	34.45	83.87
0.29	36.50	36.09	61.90
0.11	17.10	43.80	74.42
0.36	32.39	49.42	63.37
0.27	32.42	47.23	69.09
0.00	35.12	61.80	55.56
0.18	32.10	54.77	68.00
0.66	69.24	86.26	22.73
0.39	46.07	74.25	47.37
0.00	13.86	42.98	69.23
0.23	27.63	49.92	61.54
0.26	36.07	64.19	55.56
0.35	35.08	55.87	47.62
0.42	47.90	71.21	57.14
0.17	16.54	59.26	69.09
0.00	26.00	53.92	58.33
0.27	31.28	63.79	54.55
0.00	14.96	62.31	60.00
0.15	18.98	52.11	95.65
0.00	13.98	50.21	70.37
0.32	32.21	54.91	69.57
0.28	36.98	60.20	69.77
0.16	27.20	49.57	69.39
0.45	49.58	66.67	34.48
0.69	66.96	73.44	29.79
0.13	17.01	55.11	72.09
0.00	4.93	38.26	72.73
0.00	4.82	31.44	97.78
0.28	32.10	56.15	66.67
0.00	12.96	34.86	76.92
0.19	25.75	48.35	55.56
0.00	22.46	69.31	30.00
