BLEU	sacre_BLEU	sacre_CHRF2
0.42	46.75	67.93
0.47	48.64	68.81
0.52	59.58	76.22
0.93	97.40	94.16
0.52	59.17	71.87
0.57	67.97	74.65
0.83	84.66	88.71
0.66	70.92	82.23
0.40	47.21	67.10
0.32	39.39	73.35
0.62	62.88	86.74
0.82	85.91	90.30
0.00	16.02	53.55
0.50	54.24	58.95
0.22	35.31	64.26
0.00	19.15	45.57
0.29	34.45	70.28
0.28	36.86	62.21
0.38	47.42	73.40
0.21	32.45	48.35
0.72	83.94	95.44
0.34	49.39	69.36
0.26	35.89	51.73
0.37	43.68	59.20
0.52	54.61	80.48
0.74	76.92	93.32
0.00	9.01	59.69
0.44	55.48	84.36
0.19	24.28	56.16
0.36	54.07	74.03
0.36	45.02	55.28
0.22	31.04	58.51
0.00	23.46	52.12
0.46	50.37	60.38
0.32	30.38	54.33
0.38	49.25	69.59
0.26	25.68	51.26
0.41	45.90	71.88
0.28	45.47	56.17
0.36	45.63	60.87
0.00	18.15	52.67
0.50	49.16	60.16
0.53	70.17	72.69
0.50	47.39	62.58
0.42	47.27	65.24
0.51	61.53	66.47
0.46	49.82	76.34
0.44	50.92	55.42
0.33	54.08	79.83
0.17	24.17	51.39
0.34	51.54	66.02
0.44	51.39	67.91
0.30	35.84	67.86
0.17	17.63	66.75
0.62	71.73	85.14
0.96	96.22	86.01
0.75	83.94	86.61
0.54	61.53	68.65
0.47	59.35	74.45
0.45	55.84	76.43
0.33	46.55	68.84
0.21	28.49	52.81
0.57	53.32	72.68
0.29	35.13	58.54
0.74	79.38	87.03
0.00	17.49	58.09
0.62	70.91	84.28
0.41	37.27	59.59
0.17	26.09	62.44
0.46	51.99	67.40
0.00	27.27	54.82
0.41	47.56	75.18
0.59	56.47	70.01
0.46	52.93	66.73
0.22	32.19	61.12
0.65	72.46	77.19
0.30	31.29	62.62
0.29	40.64	64.89
0.00	15.07	42.02
0.38	43.60	67.00
0.35	43.74	66.42
0.24	35.17	61.34
0.39	48.27	72.69
0.00	19.00	63.18
0.59	65.26	69.98
0.84	83.39	82.79
0.43	49.18	67.58
0.00	40.13	76.16
0.27	40.86	62.50
0.22	21.85	61.02
0.00	19.36	44.09
0.51	53.19	76.69
0.33	40.64	65.95
0.60	65.36	78.93
0.36	47.97	70.62
0.90	90.25	94.31
0.32	44.13	74.76
0.70	86.40	74.37
0.72	74.83	83.51
0.72	82.61	85.45
0.42	50.59	70.98
0.69	74.40	75.51
0.76	80.03	88.71
0.63	68.93	78.45
0.00	33.03	69.57
0.20	27.76	70.10
0.51	61.00	67.95
0.33	33.60	66.77
0.53	52.66	77.64
0.32	42.83	55.31
0.30	43.79	76.14
0.27	32.87	57.23
0.64	66.65	79.65
0.27	36.72	48.44
0.25	30.12	62.24
0.00	7.73	47.71
0.00	6.85	46.18
0.51	54.15	73.50
0.00	10.91	57.61
0.20	28.96	57.81
0.00	9.64	57.57
0.00	14.13	43.48
0.00	16.47	53.93
0.00	11.50	63.75
0.23	24.21	60.88
0.55	56.35	72.37
0.84	82.82	83.33
0.76	77.53	89.58
0.00	35.74	59.48
0.45	45.90	78.59
0.19	21.51	53.29
0.44	45.17	71.65
0.43	46.94	68.17
0.48	56.06	61.87
0.56	59.25	82.15
1.00	100.00	100.00
0.00	10.94	60.92
0.34	41.03	57.06
0.62	61.70	78.21
0.29	36.14	57.36
0.34	47.03	55.90
0.51	59.17	74.26
0.24	23.59	49.82
0.60	61.15	76.20
0.44	48.48	69.24
0.00	16.94	63.80
0.74	73.97	80.27
0.24	33.31	67.02
0.00	27.05	72.69
0.00	15.00	53.98
0.49	47.85	73.38
0.28	30.51	57.60
0.12	14.86	51.50
0.10	16.62	53.64
0.00	29.21	58.88
0.43	44.98	59.66
0.45	49.32	67.00
0.24	37.43	73.58
0.62	57.59	74.63
0.42	44.55	83.10
0.27	33.89	65.86
0.39	44.42	69.61
0.00	19.29	61.46
0.61	72.50	74.09
0.00	4.99	34.48
0.31	37.71	60.03
0.00	6.14	37.65
0.19	22.59	61.52
0.23	37.20	70.32
0.51	60.57	69.00
0.39	42.79	59.30
0.46	50.76	62.47
0.39	45.92	72.12
0.47	57.29	79.78
0.61	68.43	72.20
0.27	44.00	67.39
0.45	52.28	61.95
0.16	23.50	65.18
0.00	24.26	71.45
0.00	16.26	39.51
0.67	69.68	84.73
0.19	24.73	56.88
0.55	50.90	72.53
0.55	60.28	68.89
0.17	18.20	67.05
0.00	22.22	44.87
0.46	52.81	73.99
0.78	82.32	91.86
0.29	37.87	57.02
0.53	54.29	70.06
0.51	53.09	66.90
0.00	9.54	53.70
0.31	40.17	58.07
0.32	45.43	67.81
0.34	39.54	55.56
0.21	27.82	65.06
0.38	49.00	63.04
0.78	71.76	85.80
0.00	19.49	32.45
0.41	41.28	70.18
0.48	58.17	63.95
0.70	80.14	73.59
0.00	22.09	54.11
0.37	42.17	59.79
0.50	59.67	64.98
0.00	21.63	41.96
0.33	40.90	59.70
0.30	43.53	72.53
0.25	38.09	58.32
0.26	28.98	64.74
0.00	17.40	41.69
0.00	10.38	37.73
0.16	28.09	56.36
0.26	32.55	68.36
0.00	9.85	33.43
0.39	43.04	66.45
0.00	15.07	48.86
0.78	81.38	79.84
0.80	77.72	68.49
0.53	58.77	81.50
0.00	14.00	50.23
0.00	11.29	45.48
0.00	14.93	50.37
0.73	76.72	76.43
0.28	37.95	64.26
0.32	35.56	77.44
0.54	58.80	62.61
0.00	9.58	46.50
0.22	27.25	55.58
0.47	59.84	80.16
0.54	58.87	83.74
0.23	28.22	51.37
0.11	14.96	48.36
0.00	9.57	41.68
0.65	63.82	70.72
0.00	8.52	47.03
0.29	29.50	59.34
0.32	34.45	61.55
0.00	12.07	50.66
0.37	45.11	64.15
0.39	43.26	71.57
0.52	54.95	71.49
0.40	43.99	60.19
0.30	35.53	59.82
0.28	34.56	72.00
0.61	56.57	79.66
0.43	45.83	64.30
0.55	66.49	64.88
0.30	42.47	74.66
0.21	31.54	50.09
0.00	24.27	47.86
0.00	12.54	48.60
0.00	12.22	54.82
0.56	60.91	87.31
0.00	6.99	37.50
0.62	61.69	76.75
0.18	20.95	50.84
0.46	50.95	69.87
0.52	57.51	75.43
0.45	43.13	73.69
0.00	12.70	14.90
0.36	41.38	65.19
0.00	26.65	66.94
0.37	46.88	74.67
0.00	27.09	51.72
0.40	39.46	67.49
0.00	31.75	62.03
1.00	100.00	100.00
0.29	36.73	59.51
0.65	71.70	76.95
0.44	63.12	70.05
0.42	43.67	78.22
0.00	8.12	38.82
0.00	9.55	45.53
0.00	13.54	45.89
0.11	18.73	54.91
0.00	10.68	50.69
0.10	17.26	47.39
0.10	14.33	46.53
0.16	20.35	56.21
0.17	24.83	55.25
0.00	11.54	44.94
0.34	39.82	62.03
0.07	10.68	47.11
0.00	13.72	32.00
0.85	85.12	84.06
0.75	77.74	85.92
0.65	73.52	75.77
0.35	43.40	73.00
0.67	67.09	79.84
0.68	67.67	83.08
0.35	39.44	71.06
0.45	48.73	70.66
0.58	61.28	76.41
0.65	69.27	87.42
0.00	16.66	51.90
0.00	18.61	42.46
0.00	20.15	51.03
0.49	51.52	52.60
0.14	20.55	41.34
0.45	50.02	63.77
0.22	27.57	51.79
0.00	10.55	62.46
0.00	21.20	48.73
0.26	32.09	63.27
0.57	64.17	88.99
0.25	25.59	58.33
0.36	39.85	55.39
0.00	8.45	49.33
0.51	56.22	68.93
0.48	46.83	70.49
0.00	4.20	23.11
0.00	10.88	30.11
0.18	31.02	50.48
0.19	18.95	42.23
0.21	27.37	52.04
0.00	4.37	30.56
0.00	27.83	54.29
0.30	29.27	50.75
0.35	41.23	60.98
0.00	5.98	39.24
0.24	36.81	57.74
0.00	4.50	24.75
0.17	20.36	68.23
0.65	64.42	73.95
0.15	20.02	55.37
0.45	50.67	66.14
0.24	34.69	57.40
0.00	10.66	30.51
0.00	13.20	43.47
0.00	20.61	49.84
0.00	19.30	46.96
0.22	32.24	58.26
0.00	3.04	31.99
0.00	16.59	31.40
0.00	4.74	21.27
0.60	70.17	92.49
0.00	30.38	62.76
0.27	33.08	61.11
0.22	26.92	70.37
0.48	49.66	67.44
0.00	35.44	74.72
0.00	24.70	50.24
