BLEU	sacre_BLEU	sacre_CHRF2
0.00	2.14	8.16
0.00	2.74	7.67
0.00	1.28	19.58
0.00	3.44	19.79
0.00	2.61	6.84
0.00	3.70	12.09
0.00	3.41	10.70
0.00	2.85	10.67
0.00	2.85	10.59
0.00	3.40	13.66
0.00	2.14	7.18
0.00	2.17	19.95
0.00	2.54	5.06
0.00	2.87	6.88
0.00	3.76	13.35
0.00	2.27	16.28
0.00	1.31	7.57
0.00	2.74	9.74
0.00	3.13	11.81
0.00	1.69	18.26
0.00	2.83	10.23
0.00	2.81	10.70
0.00	3.38	14.50
0.00	1.37	18.38
0.00	3.40	13.40
0.00	1.53	18.82
0.00	5.44	17.72
0.00	1.31	5.91
0.00	2.87	12.42
0.00	1.77	6.80
0.00	2.61	8.68
0.00	1.83	18.64
0.00	2.08	20.43
0.00	2.86	15.19
0.00	6.05	10.94
0.00	2.95	17.85
0.00	3.34	15.09
0.00	3.74	11.54
0.00	2.66	18.00
0.00	3.39	8.91
0.00	3.13	11.03
0.00	2.14	8.17
0.00	2.13	18.03
0.00	2.95	19.11
0.00	2.17	13.48
0.00	3.46	14.54
0.00	6.32	13.00
0.00	4.11	16.88
0.00	2.54	3.44
0.00	4.28	7.80
0.00	3.74	13.58
0.00	3.46	11.88
0.00	2.74	7.65
0.00	3.25	8.40
0.00	2.42	9.51
0.00	1.76	17.45
0.00	2.14	9.21
0.00	3.44	17.55
0.00	4.55	16.77
0.00	3.40	13.98
0.00	3.04	17.84
0.00	3.34	7.84
0.00	2.04	18.19
0.00	3.23	17.82
0.00	4.05	13.04
0.00	2.71	18.01
0.00	2.61	7.68
0.00	2.74	18.74
0.00	2.14	12.06
0.00	6.25	17.09
0.00	0.69	17.17
0.00	0.70	4.10
0.00	0.00	3.92
