BLEU	sacre_BLEU	sacre_CHRF2
0.00	2.10	3.40
0.00	2.42	8.20
0.00	2.87	7.81
0.00	2.55	18.48
0.00	2.39	17.21
0.00	2.14	9.14
0.00	2.81	9.37
0.00	2.42	7.25
0.00	2.84	11.80
0.00	0.12	2.21
0.00	0.00	3.92
0.00	2.74	10.20
0.00	2.44	16.21
0.00	2.54	6.15
0.00	2.14	10.42
0.00	2.81	11.69
0.00	0.00	4.38
0.00	3.23	11.91
0.00	3.74	10.42
0.00	4.14	20.28
0.00	2.15	15.78
0.00	2.05	18.12
0.00	1.31	5.78
0.00	2.61	9.57
0.00	3.74	13.37
0.00	5.11	20.31
0.00	3.34	10.51
0.00	2.85	13.72
0.00	1.39	16.89
0.00	2.67	17.65
0.00	2.52	13.38
0.00	1.89	17.16
0.00	2.72	15.15
0.00	3.76	12.92
0.00	1.76	17.74
0.00	3.13	15.95
0.00	3.40	15.11
0.00	2.52	19.30
0.00	3.39	12.22
0.00	2.30	17.27
0.00	1.28	17.30
0.00	3.46	14.79
0.00	2.14	5.67
0.00	3.41	14.93
0.00	2.74	19.03
0.00	2.31	17.77
0.00	5.44	20.27
0.00	3.18	7.43
0.00	2.39	13.98
0.00	2.30	18.71
0.00	2.29	17.21
0.00	1.31	5.81
0.00	2.27	18.72
0.00	1.31	3.22
0.00	3.10	10.45
0.00	3.30	18.69
0.00	1.68	17.59
0.00	2.81	10.58
0.00	1.48	17.35
0.00	1.44	17.62
0.00	3.46	17.97
0.00	1.76	17.41
0.00	3.01	19.51
0.00	2.17	17.19
0.00	3.25	11.81
0.00	5.11	18.83
0.00	2.54	7.88
0.00	2.42	8.14
0.00	2.74	7.43
0.00	1.28	18.48
0.00	2.83	16.48
0.00	2.42	5.57
0.00	3.60	9.75
0.00	3.41	10.70
0.00	2.14	7.75
0.00	2.85	9.94
0.00	3.41	13.87
0.00	2.14	7.18
0.00	2.52	22.77
0.00	2.54	5.31
0.00	1.77	6.00
0.00	3.34	12.56
0.00	2.27	16.24
0.00	1.31	7.57
0.00	2.81	10.72
0.00	2.74	6.06
0.00	1.83	19.17
0.00	3.46	9.75
0.00	2.74	10.72
0.00	3.38	13.92
0.00	1.45	19.23
0.00	3.40	12.30
0.00	1.49	17.64
0.00	6.75	14.61
0.00	1.31	5.69
0.00	3.77	11.67
0.00	1.31	5.93
0.00	2.74	8.49
0.00	1.91	18.59
0.00	2.44	18.58
0.00	4.02	12.95
0.00	2.42	9.85
0.00	1.83	16.61
0.00	3.34	15.09
0.00	3.76	10.32
0.00	2.83	18.18
0.00	3.39	9.14
0.00	3.40	12.13
0.00	2.14	5.68
0.00	2.22	16.91
0.00	2.95	18.45
0.00	2.17	13.38
0.00	3.74	14.92
0.00	3.10	10.02
0.00	3.92	18.03
0.00	2.10	3.21
0.00	2.14	6.93
0.00	3.46	13.75
0.00	3.46	13.66
0.00	2.74	7.67
0.00	3.25	8.73
0.00	2.42	9.51
0.00	3.30	18.36
0.00	2.14	8.54
0.00	3.58	16.80
0.00	4.81	16.81
0.00	3.40	16.68
0.00	3.46	14.63
0.00	6.05	7.87
0.00	2.00	18.39
0.00	3.22	18.88
0.00	4.04	12.61
0.00	2.71	18.01
0.00	2.42	8.03
0.00	2.44	18.61
0.00	2.14	12.06
0.00	5.44	16.94
0.00	0.72	16.24
0.00	0.70	4.10
0.00	0.00	3.92
